Page,Status,Priority,Complexity,Notes
Events\Webinars\Hiring-Software-Companies.aspx,Archived,2,0,
Events\Webinars\Lessons-Learned-Writing-Mobile-Sites.aspx,Archived,2,0,
Events\Webinars\Lightswitch.aspx,Archived,2,0,
Events\Webinars\Master-Scrum.aspx,Archived,2,0,
Events\Webinars\MVC-Apps.aspx,Archived,2,0,
Events\Webinars\MVC-Dont_use_Web_Forms_again.aspx,Archived,2,0,
Events\Webinars\MVC-Migrating-from-Web-Forms.aspx,Archived,2,0,
Events\Webinars\PhoneGap-for-Mobile-Developers.aspx,Archived,2,0,
Events\Webinars\Promotional-Videos-How-To.aspx,Archived,2,0,
Events\Webinars\SharePoint-Client-Side-Rendering.aspx,Archived,2,0,
Events\Webinars\SharePoint-for-Business.aspx,Archived,2,0,
Events\Webinars\SolidQ.aspx,Archived,2,0,
Events\Webinars\Speed-Up-SQL-Server.aspx,Archived,2,0,
Events\Webinars\Windows-Azure.aspx,Archived,2,0,
Events\Webinars\DevSuperpowers.aspx,Redirect,4,0,
Events\Workshops\Tech-Breakfast.aspx,Archived,2,0,
Events\Brian-Randell-Virtualization-for-Developers.aspx,Archived,2,0,
Events\ConferencePast.aspx,Archived,2,0,
Events\Event.aspx,Archived,2,0,
Events\HoloLens-experience.aspx,Archived,2,0,
Events\Juval-Lowy-Architect-Master-Class.aspx,Archived,2,0,
Events\SampleTrainingDay.aspx,Archived,2,0,
Events\SSWTechBreakfastPast.aspx,Archived,2,0,
Events\Steve-Forte-Agile-Seminar.aspx,Archived,2,0,
Events\Visual-Studio-2013-Rapid-SharePoint-Development.aspx,Archived,2,0,
Events\Chinafy-Experience.aspx,Redirect,4,0,
Events\Juval-Lowy-Architects-Clinic.aspx,Redirect,4,0,
Events\ADNUG.aspx,Done,1,0,
Events\BI-Bootcamp.aspx,Done,1,0,
Events\Brain-Quest-VisualStudio2010-TFS2010-Sharepoint2010.aspx,Done,1,0,
Events\Conference.aspx,Done,1,0,
Events\Default.aspx,Done,1,0,
Events\DevSuperpowers-In-Person.aspx,Done,1,0,
Events\Events.aspx,Done,1,0,
Events\Past.aspx,Done,1,0,
Events\Scrum-Training-Course-3-days.aspx,Done,1,0,
Events\Scrum-Training-Course.aspx,Done,1,0,
Events\SSWTechBreakfast.aspx,Done,1,0,
Events\UTSSharePoint.aspx,Done,1,0,
Events\UTSSQL.aspx,Done,1,0,
Events\VisualStudio2010_TFS2010_Sharepoint2010.aspx,Done,1,0,
ExchangeReporter\Reports\Default.aspx,Archived,2,0,
ExchangeReporter\Default.aspx,Archived,2,0,
ExchangeReporter\ReportSamples.aspx,Archived,2,0,
ExchangeReporter\UserGuide.aspx,Archived,2,0,
eXtremeEmails\Default.aspx,To-do,4,2,
eXtremeEmails\ExcelProductList\Default.aspx,To-do,4,2,
eXtremeEmails\ManageProjects.aspx,To-do,4,2,
eXtremeEmails\Reports\Default.aspx,To-do,4,2,
eXtremeEmails\userguide.aspx,To-do,4,2,
FolderBrowser.aspx,To-do,4,2,
HackDay\Default.aspx,To-do,4,2,
HealthAuditor\Default.aspx,Archived,2,0,
HealthAuditor\FxCopTutorial.aspx,Archived,2,0,
HealthAuditor\NUnitTutorial.aspx,Archived,2,0,
HealthAuditor\userguide.aspx,Archived,2,0,
Hosting\AliasForSQLServer.aspx,To-do,4,2,
Hosting\DatabaseEdit.aspx,To-do,4,2,
Hosting\Default.aspx,To-do,4,2,
Hosting\Details.aspx,To-do,4,2,
Hosting\hostingtermsconditions.aspx,Done,1,0,
LinkAuditor\Desktop\UserGuide.aspx,Archived,2,0,
LinkAuditor\Default.aspx,Archived,2,0,
LinkAuditor\HowtobeGoodLinkAuditorDailyBuildMaster.aspx,Archived,2,0,
LinkAuditor\UserGuide.aspx,Archived,2,0,
Live\Default.aspx,To-do,4,2,
Logo\AIHackDay\Default.aspx,To-do,4,2,
Logo\AngularHackDay\Default.aspx,To-do,4,2,
Logo\CodeAuditor\Default.aspx,To-do,4,2,
Logo\DataOnion\Default.aspx,To-do,4,2,
Logo\Default.aspx,To-do,4,2,
Logo\Dory\Default.aspx,To-do,4,2,
Logo\FireBootCamp\Default.aspx,To-do,4,2,
Logo\HealthCheck\Default.aspx,To-do,4,2,
Logo\LinkAuditor\Default.aspx,To-do,4,2,
Logo\MAUIHackDay\Default.aspx,To-do,4,2,
Logo\MAUIHackDay\images\Default.aspx,To-do,4,2,
Logo\NETUG\Default.aspx,To-do,4,2,
Logo\NETUG\NETUG-old\Default.aspx,To-do,4,2,
Logo\Past.aspx,To-do,4,2,
Logo\SmashingBarrier\Default.aspx,To-do,4,2,
Logo\SophieBot\Default.aspx,To-do,4,2,
Logo\SophieHub\Default.aspx,To-do,4,2,
Logo\SQLDeploy\Default.aspx,To-do,4,2,
Logo\SSRS\Default.aspx,To-do,4,2,
Logo\SSW\Default.aspx,To-do,4,2,
Logo\SSW-1994\Default.aspx,To-do,4,2,
Logo\SSW-TV\Default.aspx,To-do,4,2,
